"s.1","s.2","index","stat","p.value","Genus","Group","Space_Mean_RA","Terr_Mean_RA"
0,1,2,0.946232721485047,0.001,"Faecalibacterium","Terrestrial_Soil",0.000105396693993155,0.0203219168240798
0,1,2,0.806225774829855,0.001,"FCPU426","Terrestrial_Soil",0,0.0112885969117643
0,1,2,0.948683298050514,0.001,"Fimbriimonadaceae","Terrestrial_Soil",0,0.0441921709795817
0,1,2,0.974679434480896,0.001,"Flavisolibacter","Terrestrial_Soil",0,0.0854775252405175
0,1,2,0.632455532033676,0.001,"Flavitalea","Terrestrial_Soil",0,0.020132150234694
0,1,2,0.842078026309304,0.001,"Flavobacterium","Terrestrial_Soil",0.00806104103813741,0.0628796264337953
0,1,2,0.894365689384998,0.001,"Gaiella","Terrestrial_Soil",1.64150746415331e-05,0.119351132554489
0,1,2,0.940543858128151,0.001,"Gemmata","Terrestrial_Soil",0.00978661981431748,0.132423226734634
0,1,2,0.995828702685407,0.001,"Gemmatimonas","Terrestrial_Soil",0.0216307145005626,2.57659247905345
0,1,2,0.974679434480896,0.001,"Gitt-GS-136","Terrestrial_Soil",0,0.297678399345356
0,1,2,0.974679434480896,0.001,"Granulicella","Terrestrial_Soil",0,0.108507507915958
0,1,2,0.670820393249937,0.001,"Group_1.1c","Terrestrial_Soil",0,0.0035045711051091
0,1,2,1,0.001,"Haliangium","Terrestrial_Soil",0,1.34656951237926
1,0,1,0.598740817080092,0.017,"Heliimonas","Space_Flight",0.0159026420576698,0
0,1,2,0.670820393249937,0.001,"Herpetosiphon","Terrestrial_Soil",0,0.0034967822994812
0,1,2,0.806225774829855,0.001,"Holophaga","Terrestrial_Soil",0,0.0130677542861905
0,1,2,1,0.001,"HSB_OF53-F07","Terrestrial_Soil",0,0.126677580097636
0,1,2,0.894427190999916,0.001,"Hydrogenispora","Terrestrial_Soil",0,0.0145729425055619
0,1,2,0.971648890705952,0.001,"Iamia","Terrestrial_Soil",0.000693367798335363,0.110980255893346
0,1,2,0.774596669241483,0.001,"Ilumatobacter","Terrestrial_Soil",0,0.0179726255010694
0,1,2,1,0.001,"IMCC26256","Terrestrial_Soil",0,0.376460017976149
0,1,2,0.774596669241483,0.001,"Inquilinus","Terrestrial_Soil",0,0.0285203943017896
0,1,2,0.921954445729289,0.001,"IS-44","Terrestrial_Soil",0,0.0725566454535299
0,1,2,1,0.001,"JG30-KF-AS9","Terrestrial_Soil",0,2.51692799541992
0,1,2,0.99935968985868,0.001,"JG30-KF-CM45","Terrestrial_Soil",0.000138390079015375,0.10796109996259
0,1,2,1,0.001,"JG30-KF-CM66","Terrestrial_Soil",0,0.119300634745152
0,1,2,0.591607978309962,0.001,"JG30a-KF-32","Terrestrial_Soil",0,0.0109873829954399
0,1,2,0.921954445729289,0.001,"Kapabacteriales","Terrestrial_Soil",0,0.0345280824873624
0,1,2,0.632455532033676,0.001,"KD3-10","Terrestrial_Soil",0,0.00910751260055519
0,1,2,0.999847409929857,0.001,"KD4-96","Terrestrial_Soil",0.000323571639223169,1.06002173036202
0,1,2,0.894427190999916,0.001,"KF-JG30-B3","Terrestrial_Soil",0,0.0671884424994568
