,Study_Group,N-Fixation,P-Solubilization,IAA/Phytohormone,Biocontrol,ACC-Deaminase,Total_PGP
Q1-Root3_S19_L001,Space_Flight,18.52188595921548,15.443564099233667,33.03156254058969,15.443564099233667,29.40251980776724,38.707624366800886
Q1-Root4_S20_L001,Space_Flight,18.41081509860676,35.40054514307896,43.61060244217348,35.40054514307896,46.947283145289916,52.40462105805014
Q1-RSJ-Root1_S17_L001,Space_Flight,0.6107545917238326,87.31577782695285,89.39145828723169,87.31577782695285,87.749502102235,89.56848860367337
Q1-Stem_S16_L001,Space_Flight,2.0868113522537564,24.891078626979926,43.97166008387964,24.891078626979926,17.832566472576246,53.19231239056965
Q1-Wick1_S9_L001,Space_Flight,2.588885962602054,20.000658414537792,31.80932314985515,20.000658414537792,14.877534895970502,39.55096128522518
Q1-Wick2_S10_L001,Space_Flight,7.559123863683288,11.470825934861992,59.39522289799843,11.470825934861992,14.786717556351281,66.07478895921943
Q1-Wick3_S11_L001,Space_Flight,2.7260500724187873,45.2307055659011,47.75501758741982,45.2307055659011,46.2807779846886,50.625905234843785
Q1-Wick4_S12_L001,Space_Flight,10.760010896213565,50.108962135657855,55.51166802869336,50.108962135657855,58.912194679015705,62.19921910469445
Q2_Fruit1_S11_L001,Space_Flight,3.734939759036145,5.542168674698796,14.698795180722893,2.8915662650602414,6.265060240963856,19.759036144578314
Q2_Leaf_S2_L001,Space_Flight,1.3559969442322384,1.3846447669977082,25.0,1.3846447669977082,1.7666157372039724,25.974025974025977
Q2_Seed1_S12_L001,Space_Flight,5.0,8.75,32.5,8.75,8.75,37.5
Q2-1-Swab3_S3_L001,Space_Flight,0.5592125626792678,95.22296279482471,95.37978993417387,95.22296279482471,95.47677513877139,95.66661851798354
Q2-1-Swab4_S4_L001,Space_Flight,4.737439512515682,78.23346675428638,76.4800764681283,78.15580381145826,80.56634207539278,81.21452894438137
Q2-Arcillite1_S39_L001,Space_Flight,20.354334374497405,16.400450324623108,37.82049654215022,16.400450324623108,36.028509273132045,42.82400941280039
Q2-Arcillite2_S40_L001,Space_Flight,17.426781814750576,22.80075846760786,40.21046577459853,22.80075846760786,39.8213467293331,45.277101287777356
Q2-Arcillite3_S41_L001,Space_Flight,23.50430067484718,2.5358995086240568,26.35718762204925,2.5322664147721596,25.478887183353162,30.756864276696426
Q2-Arcillite4_S42_L001,Space_Flight,31.264547816492865,18.431149233014203,25.37068014378759,18.445385628358903,36.20528882087056,42.040787272662556
Q2-Foam1_S30_L001,Space_Flight,18.43060959792477,1.9325551232166018,20.596627756160828,1.8936446173800259,19.040207522697795,24.565499351491567
Q2-Foam2_S31_L001,Space_Flight,5.860067429008375,3.0864412081609953,12.915783253971014,3.0864412081609953,6.127698029265579,16.822494873309928
Q2-Foam3_S32_L001,Space_Flight,14.112398341863095,10.794908887565189,31.316176559973744,10.794908887565189,23.71840848032482,34.29207036141064
Q2-Rhizosphere_S38_L001,Space_Flight,22.16505768777961,16.974334824582055,48.47774899929361,17.008476571697667,37.97150930068283,55.390864139392505
Q2-Root2_S35_L001,Space_Flight,31.20809898762655,5.74578177727784,23.849268841394824,5.74578177727784,32.389201349831275,43.536557930258724
Q2-Root3_S36_L001,Space_Flight,28.221139866240183,11.641465542308811,32.7108170979936,11.641465542308811,33.534457691189296,42.50145391102065
Q2-Root4_S37_L001,Space_Flight,29.25849882806112,10.752766320838708,23.75492850264368,10.752766320838708,30.5267365590421,37.631048203935535
Q2-RSJ-Root1_S34_L001,Space_Flight,22.235613518725263,16.091545722115093,44.3253323860753,16.091545722115093,35.44605703846544,51.63528874454481
Q2-Stem_S33_L001,Space_Flight,4.177193868957386,20.633316489809665,46.446016506653194,20.633316489809665,15.117062489472797,56.341586659929256
Q2-Water_S43_L001,Space_Flight,47.27797996473193,3.5180530021636085,7.89529633937393,3.5180530021636085,47.503095336359884,50.81604322215135
Q2-Wick1_S26_L001,Space_Flight,1.1530901615976714,5.036235689528411,4.556844269059372,5.036235689528411,5.304814920401519,5.499872462376401
Q2-Wick2_S27_L001,Space_Flight,1.1733549122742488,61.45032552322802,60.96112112406665,61.47055578033619,60.49950343914371,62.505977121418326
Q2-Wick3_S28_L001,Space_Flight,9.472817133443163,16.098943696094583,16.498691733695125,16.098943696094583,21.26659560034887,23.27744936524857
Q2-Wick4_S29_L001,Space_Flight,3.030880152360223,15.002040538702216,14.017140525098625,15.002040538702216,16.054958509046386,16.362399673513806
