sample-id	spaceflight	sample_type	location	sanitization	description
Q4-Arcillite4	Space_Flight	Arcillite	Q4	Not Applicable	Arcillite from Q4
Q4-Rhizosphere	Space_Flight	Rhizosphere	Q4	Not Applicable	Rhizosphere from Q4
Q4-Root1	Space_Flight	Plant Roots	Q4	Not Applicable	Plant Roots from Q4
Q4-Root2	Space_Flight	Plant Roots	Q4	Not Applicable	Plant Roots from Q4
Q4-Root3	Space_Flight	Plant Roots	Q4	Not Applicable	Plant Roots from Q4
Q4-Root4	Space_Flight	Plant Roots	Q4	Not Applicable	Plant Roots from Q4
Q4-Water	Space_Flight	Water	Q4	Not Applicable	Water from Q4
Q1-1-Swab1	Space_Flight	Swab	Q1	Not Applicable	Swab from Q1
Q1-1-Swab2	Space_Flight	Swab	Q1	Not Applicable	Swab from Q1
Q1-Foam1	Space_Flight	Foam	Q1	Not Applicable	Foam from Q1
Q1-Foam2	Space_Flight	Foam	Q1	Not Applicable	Foam from Q1
Q1-Foam3	Space_Flight	Foam	Q1	Not Applicable	Foam from Q1
Q1-Wick1	Space_Flight	Wick	Q1	Not Applicable	Wick from Q1
Q1-Wick2	Space_Flight	Wick	Q1	Not Applicable	Wick from Q1
Q1-Wick3	Space_Flight	Wick	Q1	Not Applicable	Wick from Q1
Q1-Wick4	Space_Flight	Wick	Q1	Not Applicable	Wick from Q1
Q2-1-Swab3	Space_Flight	Swab	Q2	Not Applicable	Swab from Q2
Q2-1-Swab4	Space_Flight	Swab	Q2	Not Applicable	Swab from Q2
Q2-Foam1	Space_Flight	Foam	Q2	Not Applicable	Foam from Q2
Q2-Foam2	Space_Flight	Foam	Q2	Not Applicable	Foam from Q2
Q2-Foam3	Space_Flight	Foam	Q2	Not Applicable	Foam from Q2
Q2-Wick1	Space_Flight	Wick	Q2	Not Applicable	Wick from Q2
Q2-Wick2	Space_Flight	Wick	Q2	Not Applicable	Wick from Q2
Q2-Wick3	Space_Flight	Wick	Q2	Not Applicable	Wick from Q2
Q2-Wick4	Space_Flight	Wick	Q2	Not Applicable	Wick from Q2
Q3-1-Swab5	Space_Flight	Swab	Q3	Not Applicable	Swab from Q3
Q3-1-Swab6	Space_Flight	Swab	Q3	Not Applicable	Swab from Q3
Q3-Foam1	Space_Flight	Foam	Q3	Not Applicable	Foam from Q3
Q3-Foam2	Space_Flight	Foam	Q3	Not Applicable	Foam from Q3
Q3-Foam3	Space_Flight	Foam	Q3	Not Applicable	Foam from Q3
Q3-Wick1	Space_Flight	Wick	Q3	Not Applicable	Wick from Q3
Q3-Wick2	Space_Flight	Wick	Q3	Not Applicable	Wick from Q3
Q3-Wick3	Space_Flight	Wick	Q3	Not Applicable	Wick from Q3
Q3-Wick4	Space_Flight	Wick	Q3	Not Applicable	Wick from Q3
Q4-1-Swab7	Space_Flight	Swab	Q4	Not Applicable	Swab from Q4
Q4-1-Swab8	Space_Flight	Swab	Q4	Not Applicable	Swab from Q4
Q4-Foam1	Space_Flight	Foam	Q4	Not Applicable	Foam from Q4
Q4-Foam2	Space_Flight	Foam	Q4	Not Applicable	Foam from Q4
Q4-Foam3	Space_Flight	Foam	Q4	Not Applicable	Foam from Q4
Q4-Wick1	Space_Flight	Wick	Q4	Not Applicable	Wick from Q4
Q4-Wick2	Space_Flight	Wick	Q4	Not Applicable	Wick from Q4
Q4-Wick3	Space_Flight	Wick	Q4	Not Applicable	Wick from Q4
Q4-Wick4	Space_Flight	Wick	Q4	Not Applicable	Wick from Q4
