id,(Intercept),Study_GroupTerrestrial_Soil
Micrococcus,0.16910768239754664,0.20845439120488507
Micromonospora,0.06633078456001944,0.3767247154050074
Micropepsis,0.04164928239880627,0.18847516722846974
Mizugakiibacter,0.041649282398806275,0.21679590339743088
Mucilaginibacter,0.248636113924551,0.3958228703702272
Mycobacterium,0.2771552351222915,0.30409243183982204
NB1-j,0.041649282398806255,0.2783352466311508
Neochlamydia,0.041649282398806275,0.19650455868946967
Nevskia,0.2398298455133446,0.27123986200506495
Nitrolancea,0.041649282398806255,0.23215928235338873
Nitrosospira,0.041649282398806275,0.1906332654304051
Nitrospira,0.04164928239880626,0.24270039846832747
Nocardia,0.04164928239880627,0.21893319325891533
Nocardioides,0.20115470316788622,0.23727419901318006
Novosphingobium,0.2429784041122626,0.2718351151556247
OLB14,0.04164928239880628,0.11595958871849946
OM190,0.04164928239880627,0.21966136439963366
OM27_clade,0.04164928239880627,0.1927712592096058
Obscuribacteraceae,0.21283946216717392,0.28729124996423205
P2-11E,0.04164928239880629,0.23033989129361604
P3OB-42,0.04164928239880628,0.2227240205976964
PAUC26f,0.04164928239880628,0.19952329424104248
Paenibacillus,0.27507079734506484,0.3631588534834805
Pajaroellobacter,0.13815104515437815,0.3029055214077518
Paludibaculum,0.09515344724523662,0.15462859854949793
Parcubacteria,0.041649282398806275,0.19893689876339726
PeM15,0.04164928239880629,0.25284995017490947
Pedomicrobium,0.07245173886833854,0.16190328826557396
Pedosphaeraceae,0.07169833677401624,0.16160640513903776
Phaselicystis,0.04683114361592708,0.31467401782401405
Phenylobacterium,0.1519676450083744,0.30617327589826077
Phreatobacter,0.20359132345034342,0.23728727726321971
Pirellula,0.04622133312247039,0.23150678241833111
Pla1_lineage,0.04164928239880626,0.2392126901285619
Pla4_lineage,0.04164928239880628,0.24976246060594748
Polycyclovorans,0.04164928239880626,0.29092624310022586
Prevotella,0.08454123523488596,0.1813502771014215
Procabacter,0.23921922537656964,0.26848028373885446
Pseudolabrys,0.24958766455113734,0.26416571404877703
Pseudomonas,0.3613416522208071,0.43057250861134827
Pseudonocardia,0.06634256078107928,0.19686221557383013
Puia,0.37157648770664503,0.3910561483765934
RB41,0.04164928239880626,0.2633881518297507
RBG-13-54-9,0.041649282398806275,0.20216820474456706
RCP2-54,0.04164928239880627,0.22095220779669464
Ralstonia,0.3041351385188796,0.548933835671543
Ramlibacter,0.04164928239880626,0.24907385467110085
Reyranella,0.27573899422107057,0.2810351925013024
Rhodanobacter,0.05556938334209576,0.21769703110039684
Rhodanobacteraceae,0.041649282398806275,0.6995014551114013
Rokubacteriales,0.041649282398806255,0.2743464710341836
Roseiarcus,0.04164928239880626,0.2772611306671038
Roseisolibacter,0.0576031413118573,0.2131347458873109
S-BQ2-57_soil_group,0.04164928239880628,0.2395304011772455
S0134_terrestrial_group,0.04164928239880627,0.2063914811616721
S085,0.04164928239880626,0.18202526849601533
SC-I-84,0.04164928239880626,0.06648355015229045
SJA-15,0.04164928239880629,0.2971040531655281
SM1A02,0.04164928239880626,0.21429754118186956
SM2D12,0.041649282398806296,0.2787140955989277
SWB02,0.04164928239880626,0.20731636435089756
Saccharimonadales,0.04164928239880627,0.11511496205505664
Sandaracinus,0.041649282398806275,0.25331052700282575
Sediminibacterium,0.18603416769413864,0.23380348646419877
Sericytochromatia,0.04164928239880626,0.25063733835783186
Sh765B-TzT-35,0.04164928239880627,0.26111430540693464
Singulisphaera,0.221161869878144,0.25252405361613944
Solirubrobacter,0.057755762310078,0.38220169386101355
Sphingomonas,0.2220458299836872,0.34604220933181973
Spirochaeta,0.041649282398806275,0.18096245540597503
Spirosoma,0.2637205631496014,0.29358804265758925
Sporichthya,0.19197109998070563,0.22739553248586883
Staphylococcus,0.23712138502385885,0.29814454235834575
Stenotrophomonas,0.07204197103469182,0.40123812056890223
Steroidobacter,0.05060256441666161,0.22702710478523952
Streptococcus,0.15123077081573552,0.3067288188757714
Streptomyces,0.051655948448455426,0.14629545352582946
Subgroup_10,0.04164928239880626,0.25887787994132305
Subgroup_11,0.041649282398806275,0.21796227907419885
Subgroup_13,0.041649282398806255,0.12332922907328472
